id,name,address,info
114,ゲームランド盛岡店,岩手県盛岡市前潟4-7-1イオンモール盛岡2F,開催なし
115,GiGO水沢,岩手県奥州市水沢区佐倉河字鐙田4-1,開催なし
116,アミューズメントゾーン 北上店,岩手県北上市本通り二丁目2-1　さくら野百貨店北上店4F,開催なし
117,ソユーゲームフィールド 釜石店,岩手県釜石市港町二丁目1番1号　イオンタウン釜石店3Ｆ,開催なし
118,ソユーゲームフィールド 盛岡南店,岩手県盛岡市本宮七丁目1番1号　イオンモール盛岡南1F ,開催なし
119,ソユーファミリーゲームフィールド 花巻店,岩手県花巻市高木第16地割68番地6 銀河モール花巻内,開催なし
120,タイトーステーション 盛岡マッハランド店,岩手県盛岡市上堂1-2-38マッハランド内,開催なし
121,モーリーファンタジー盛岡,岩手県盛岡市前潟４－７－１イオン２階　,開催なし
122,"モーリーファンタジーイオン盛岡南★メザスタシティ★
",岩手県盛岡市本宮７－１－１イオン３階　,開催なし
123,モーリーファンタジー遠野,岩手県遠野市新穀町１－１１とぴあ２階　,開催なし
124,モーリーファンタジー盛岡渋民,岩手県盛岡市玉山区渋民字鶴飼２０番地－１ＳｕＣ１階　,開催なし
125,ＰＡＬＯ久慈,岩手県久慈市長内町第３０地割３２－２久慈ショッピングセンター１階　,開催なし
126,モーリーファンタジー盛岡南,岩手県盛岡市津志田西２丁目１７－５０盛岡南ショッピングセンターサンサ店１階　,開催なし
127,モーリーファンタジー前沢,岩手県奥州市前沢区向田２丁目８５イオン２階　,開催なし
128,モーリーファンタジー一関,岩手県一関市山目字泥田８９－１イオン２階　,開催なし
129,モーリーファンタジースーパーセンター一関,岩手県一関市狐禅寺字石ノ瀬１１番１ＳｕＣ１階　,開催なし
130,白牡丹盛岡,岩手県盛岡市前潟４－７－１　イオン盛岡ショッピングセンター２Ｆ,開催なし
131,イトーヨーカドー花巻,岩手県花巻市下小舟渡１１８－１　玩具売場,開催なし
132,トイザらス北上,岩手県北上市有田町１０－３　,開催なし
133,ユーズランド大河原店,宮城県柴田郡大河原町小島2-1フォルテ2F,開催なし
134,スイーツ・ハート仙台泉大沢,宮城県仙台市泉区大沢1丁目5-1ｲｵﾝ仙台泉大沢2F,開催なし
135,プレーゴ加美店,宮城県加美郡加美町字赤塚178　イオンスーパーセンター加美店内,開催なし
136,ゲームランド佐沼店,宮城県登米市南方町新島前46-1イオンタウン佐沼1F  ,開催なし
137,プラサカプコン石巻店,宮城県石巻市蛇田字新金沼170番地イオン石巻ショッピングセンター2F,開催なし
138,THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25,開催なし
139,GiGO 仙台,宮城県仙台市青葉区中央2-5-5三経60ビル,開催なし
140,GiGO仙台コロナワールド,宮城県仙台市宮城野区福室字田中前一番53-1,開催なし
141,GiGO名取,宮城県名取市飯野坂字土城堀57-1,開催なし
142,ゲームフィールド仙台長町店,宮城県仙台市太白区長町7丁目20番3号　ザ・モール仙台長町店3階,開催なし
143,ソユーゲームフィールド古川店,宮城県大崎市古川沢田字筒場浦15番地イオンタウン古川内,開催なし
144,ｎａｍｃｏアリオ仙台泉店,宮城県仙台市泉区泉中央一丁目五番地一　アリオ仙台泉店内,開催なし
145,ｎａｍｃｏイオンモール富谷店,宮城県富谷市大清水１－３３－１　イオンモール富谷店２階,開催なし
146,"ｎａｍｃｏイオンモール名取店★メザスタシティ★
",宮城県名取市杜せきのした５－３－１　イオンモール名取２Ｆ,開催なし
147,ｎａｍｃｏヨークタウン市名坂店,宮城県仙台市泉区市名坂字中道１００－９,開催なし
148,スーパーノバイオン仙台中山店,宮城県仙台市泉区南中山1-35-57ｲｵﾝ仙台中山店　別館3F,開催なし
149,スーパーノバ仙台利府店,宮城県宮城郡利府町加瀬字新前谷地55-1利府ﾍﾟｱｶﾞｰﾃﾞﾝ内,開催なし
150,GAMEBANK仙台泉店,宮城県仙台市泉区大沢2-5-4,開催なし
151,タイトーステーション 仙台ベガロポリス店,宮城県仙台市太白区西多賀5-24-10,開催なし
152,モーリーファンタジー古川,宮城県大崎市古川旭二丁目２－１イオン２階　,開催なし
153,モーリーファンタジー気仙沼,宮城県気仙沼市赤岩舘下６－１外イオン２階　,開催なし
154,モーリーファンタジー栗原志波姫,宮城県栗原市志波姫新熊谷１１番ＳｕＣ１階　,開催なし
155,モーリーファンタジー仙台中山,宮城県仙台市泉区南中山１－３５－４０イオン３階　,開催なし
156,モーリーファンタジー利府,宮城県宮城郡利府町新中道3-1-1　イオンモール新利府　南館3階,開催なし
157,モーリーファンタジー富谷,宮城県富谷市大清水1丁目33-1イオン１階　,開催なし
158,モーリーファンタジー新名取,宮城県名取市杜せきのした５丁目３番地の１イオン３階　,開催なし
159,モーリーファンタジー仙台卸町,宮城県仙台市若林区卸町１－１イオンスタイル仙台卸町３Ｆ　,開催なし
160,モーリーファンタジー鈎取,宮城県仙台市太白区本町１－２１－１イオンスーパーセンター鈎取店１Ｆ　,開催なし
161,モーリーファンタジー多賀城,宮城県多賀城市町前４－１－１イオン３階　,開催なし
162,モーリーファンタジー石巻,宮城県石巻市茜平４－１０４番地イオン２階　,開催なし
163,モーリーファンタジー石巻東,宮城県石巻市流留字七勺１番１ＳｕＣ１階　,開催なし
164,モーリーファンタジー涌谷,宮城県遠田郡涌谷町字洞ヶ崎５番地ＳｕＣ１階　,開催なし
165,モーリーファンタジー塩釜,宮城県塩竈市海岸通５番１００号イオンタウン２階　,開催なし
166,ポケモンセンタートウホク,宮城県仙台市青葉区中央１－２－３　仙台PARCO８F,開催なし
167,フォルテ,宮城県柴田郡大河原町小島２－１　,開催なし
168,イトーヨーカドーアリオ仙台泉,宮城県仙台市泉区泉中央１－５－１　玩具売場,開催なし
169,イトーヨーカドー石巻あけぼの,宮城県石巻市あけぼの１－１－２　玩具売場,開催なし
170,トイザらス石巻矢本,宮城県東松島市小松字上浮足４３　,開催なし
171,トイザらス名取りんくうタウン,宮城県名取市杜せきのした５－５－１３　　アクロスプラザ杜せきのした,開催なし
172,ヨドバシカメラマルチメディア仙台,宮城県仙台市宮城野区榴岡１－３－１　玩具売場,開催なし
173,ファミリーランド加賀野店,宮城県登米市中田町石森字加賀野3-6-1　みやぎ生協加賀野店1階,開催なし
174,ｎａｍｃｏイオンモール新利府　南館店,宮城県宮城郡利府町新中道3-1-1　イオンモール新利府南館３F,開催なし
175,アピナ新利府 北館,宮城県宮城郡利府町利府字新屋田前22　イオンモール新利府 北館２F,開催なし
176,ヤマダデンキ Tecc  LIFE  SELECT 仙台あすと長町店,宮城県仙台市太白区あすと長町3丁目1-2,開催なし
177,ピーターパンと仲間たち 船岡店,宮城県柴田郡柴田町西船迫2-1-15　イオン船岡２F,開催なし
178,PRIZE SPOT PALO 泉パークタウン タピオ,宮城県仙台市泉区寺岡6丁目5-1,開催なし
179,SOYU Game Field 矢本店,宮城県東松島市小松字上浮足43番地　イオンタウン矢本,開催なし
180,モーリーファンタジーヨドバシ仙台,宮城県仙台市宮城野区榴岡1丁目3-1　ヨドバシ仙台第1ビル,開催なし
181,アピナ富谷店,宮城県富谷市大清水１丁目 33 番地１　イオンモール富谷別棟 109 シネマズ富谷 １階,開催なし
182,プラサカプコン大曲店,秋田県大仙市和合字坪立177イオン大曲ショッピングセンター2F,開催なし
183,GiGO秋田,秋田県秋田市茨島1-1-16,開催なし
184,ゲームフィールド十文字店,秋田県横手市十文字町仁井田字東22-1　スーパーモールラッキー内,開催なし
185,ゲームフィールド鷹巣店,秋田県北秋田市栄字前綱76　いとく鷹巣ショッピングセンター内,開催なし
186,ソユーゲームフィールド御所野店,秋田県秋田市御所野地蔵田一丁目1番地1号　イオンモール秋田2F,開催なし
187,ソユープレイランドソピア いとく鹿角店,秋田県鹿角市花輪字下夕町164-1　いとく鹿角ショッピングセンター内,開催なし
188,ソユープレイランドソピアいとくアクロス能代店,秋田県能代市字寺向70番地　いとくアクロス能代店内,開催なし
189,ｎａｍｃｏイオンタウン大館西店,秋田県大館市根下戸新町１８番１２１号　イオンタウン大館西内,開催なし
190,秋田ＯＰＡアミューズパーク,秋田県秋田市千秋久保田町４ー２　秋田ＯＰＡ内,開催なし
191,ファンタジープラザ秋田店,秋田県秋田市旭北錦町4-58MEGAドン・キホーテ秋田店2階,開催なし
192,モーリーファンタジー能代,秋田県能代市柳町１１－１イオン３階　,開催なし
193,モーリーファンタジー中仙,秋田県大仙市北長野字袴田１８８イオン１階　,開催なし
194,モーリーファンタジー横手,秋田県横手市安田字向田１４７イオン２階　,開催なし
195,モーリーファンタジー大曲,秋田県大仙市和合字坪立１７７番地イオン２階　,開催なし
196,モーリーファンタジー御所野,秋田県秋田市御所野地蔵田１－１－１イオン３階　,開催なし
197,"モーリーファンタジー秋田中央★メザスタシティ★
",秋田県秋田市楢山川口境５－１１イオン３階　,開催なし
198,モーリーファンタジー大館,秋田県大館市大田面２３８ＳｕＣ１階　,開催なし
199,ソユーゲームフィールド能代店,秋田県能代市鰄渕字古屋布1番　イオンタウン能代内,開催なし
200,SOYU Game Field 大館店,秋田県大館市御成町3-7-58　いとく大館ショッピングセンター3F,開催なし
201,モーリーファンタジー本荘,秋田県由利本荘市石脇字田中138番地　イオンスーパーセンター本荘店1階,開催なし
202,トム・ソーヤのなかまたち 五城目店,秋田県南秋田郡五城目町大川西野田屋前138　ｲｵﾝｽｰﾊﾟｰｾﾝﾀｰ五城目店内,開催なし
203,G3ポロス横手南店,秋田県横手市婦気大堤字中田4-1　イオンスーパーセンター横手南店内 2Fゲームコーナー,開催なし
204,GiGO庄内,山形県東田川郡三川町大字猪子字大堰端326-6,開催なし
205,GiGO北山形,山形県山形市北町1-3-20,開催なし
206,GiGO米沢,山形県米沢市大字花沢字タナコ原177,開催なし
207,ソユーゲームフィールド 三川店,山形県東田川郡三川町大字猪子字和田庫128番地1　イオンモール三川1F,開催なし
208,ソユーゲームフィールド 天童店,山形県天童市芳賀タウン北四丁目1番1号 イオンモール天童2階　,開催なし
209,ｎａｍｃｏイオンモール山形南店,山形県山形市若宮３－７－８　イオンモール山形南２Ｆ,開催なし
210,ｎａｍｃｏ Ｓ－ＭＡＬＬ店,山形県鶴岡市錦町２－２１　Ｓ－ＭＡＬＬ２階,開催なし
211,スーパーノバ天童店,山形県天童市南町1-5-26ららﾊﾟｰｸ内,開催なし
212,アピナ鶴岡店,山形県鶴岡市文下字広野1-1,開催なし
213,モーリーファンタジー酒田南,山形県酒田市あきほ町１２０－１イオン１階　,開催なし
214,モーリーファンタジー山形北,山形県山形市馬見ケ崎２－１２－１９イオン２階　,開催なし
215,"モーリーファンタジー東根★メザスタシティ★
",山形県東根市さくらんぼ駅前３丁目７番１５号イオン２階　,開催なし
216,モーリーファンタジー山形南,山形県山形市若宮３－７－８イオン２階　,開催なし
217,モーリーファンタジー三川,山形県東田川郡三川町大字猪子字和田庫１２８－１イオン２階　,開催なし
218,モーリーファンタジー天童,山形県天童市芳賀土地区画整理事業地内３４街区イオン２階　,開催なし
219,モーリーファンタジー米沢,山形県米沢市春日２－１３－４イオン２階　,開催なし
220,こぴあおもちゃ館,山形県鶴岡市余慶１－２　ＳＣこぴあ内,開催なし
221,ビーカム成沢店,山形県山形市成沢西5-3-27,開催なし
222,ザ・モール郡山キッズ・パーク店,福島県郡山市長者1丁目1-56西友ザ・モール郡山2階,開催なし
