id,name,address,info,lon,lat
1658,アミパラ津山,岡山県津山市河辺1000-1 ｲｵﾝﾓｰﾙ津山2F,開催なし,134.04547119140625,35.06467819213867
1659,GiGO岡山藤崎,岡山県岡山市中区藤崎599-12,開催なし,133.97702026367188,34.60896682739258
1660,GiGOイオンモール岡山,岡山県岡山市北区下石井1-2-1 イオンモール岡山内6F 6024-1区画,開催なし,133.9188995361328,34.66271209716797
1661,GiGO倉敷,岡山県倉敷市西中新田535-2,開催なし,133.7696990966797,34.58368682861328
1662,ゆめタウン平島店ゲームコーナー,岡山県岡山市東区東平島１６３番地　ゆめタウン平島店,開催なし,134.05429077148438,34.7066535949707
1663,キッズプラザきゃらんど倉敷店,岡山県倉敷市寿町12-2アリオ倉敷2階　きゃらんど倉敷,開催なし,133.76124572753906,34.60395050048828
1664,ピノッキースパティオ倉敷,岡山県倉敷市笹沖1274-1ゆめﾀｳﾝ倉敷3F,開催なし,133.77032470703125,34.57908248901367
1665,ピノッキーランド井原,岡山県井原市下出部町2-11-2ゆめﾀｳﾝ井原 3F,開催なし,133.43927001953125,34.58330535888672
1666,ふぇすたらんど高屋,岡山県岡山市中区高屋36-1 山陽ﾏﾙﾅｶ高屋店 2F,開催なし,133.96080017089844,34.674156188964844
1667,ふぇすたらんど倉敷マスカット,岡山県倉敷市松島1163番地2 山陽ﾏﾙﾅｶﾏｽｶｯﾄ店 別館3F,開催なし,133.80140686035156,34.62723159790039
1668,ふぇすたらんど築港,岡山県岡山市南区築港元町14-1 山陽ﾏﾙﾅｶ築港店 1F,開催なし,133.94833374023438,34.606719970703125
1669,ふぇすたらんど中島,岡山県倉敷市中島2780-1 山陽ﾏﾙﾅｶ中島店 1F,開催なし,133.74171447753906,34.57588195800781
1670,ふぇすたらんど平島,岡山県岡山市東区東平島1609  山陽ﾏﾙﾅｶ平島店 1F,開催なし,134.05050659179688,34.7080078125
1671,タイトーFステーション マルナカ新倉敷店,岡山県倉敷市玉島爪先981-10,開催なし,133.68479919433594,34.55278778076172
1672,モーリーファンタジーｆ岡山,岡山県岡山市北区下石井１丁目２番１号イオンモール４階　,開催なし,133.9188995361328,34.66271209716797
1673,モーリーファンタジー津山,岡山県津山市河辺１０００－１イオン２階　,開催なし,134.04547119140625,35.06467819213867
1674,"モーリーファンタジー倉敷★メザスタシティ★
",岡山県倉敷市水江１番地イオン１階　,開催なし,133.744384765625,34.60165786743164
1675,モーリーファンタジー水島,岡山県倉敷市水島高砂町３番１１号マックスバリュ１階　,開催なし,133.7374725341797,34.53135681152344
